timestamp;server.timestamp;ident;position.latitude;position.longitude;position.altitude;position.speed;position.direction;movement.status;x.acceleration;y.acceleration;z.acceleration;can.ambient.air.temperature;can.engine.coolant.temperature;can.engine.load.level;can.engine.rpm;can.throttle.pedal.level;can.short.fuel.trim;can.maf.air.flow.rate;can.vehicle.speed
27/10/2022 09:56:01;27/10/2022 09:56:03;359633107827987;51.094905;71.420138;315;43;17;TRUE;0.194;-0.043;-2.11;9;73;32;1905;0;3;5.95;42
27/10/2022 09:56:06;27/10/2022 09:56:11;359633107827987;51.095347;71.420142;315;38;14;TRUE;0.29;0.211;-2.141;9;74;17;1903;0;-4;5.05;38
27/10/2022 09:56:11;27/10/2022 09:56:20;359633107827987;51.095752;71.420278;313;32;18;TRUE;0.261;0.141;-2.107;9;75;18;1506;0;-7;3.29;34
27/10/2022 09:56:15;27/10/2022 09:56:29;359633107827987;51.096135;71.420333;309;23;11;TRUE;0.21;0.06;-2.147;9;75;18;1262;0;-3;2.97;30
27/10/2022 09:56:16;27/10/2022 09:56:26;359633107827987;51.09619;71.420352;308;21;8;TRUE;0.21;0.06;-2.147;9;75;18;1262;0;-3;2.97;30
27/10/2022 09:56:17;27/10/2022 09:56:26;359633107827987;51.096228;71.42035;307;5;1;TRUE;0.226;0.064;-1.998;9;76;38;871;0;2;4.3;5
27/10/2022 09:56:19;27/10/2022 09:56:26;359633107827987;51.096268;71.420382;306;10;358;TRUE;0.226;0.064;-1.998;9;76;38;871;0;2;4.3;5
27/10/2022 09:56:21;27/10/2022 09:56:26;359633107827987;51.0963;71.420385;305;5;7;TRUE;0.226;0.064;-1.998;9;76;38;871;0;2;4.3;5
27/10/2022 09:56:21;27/10/2022 09:56:26;359633107827987;51.0963;71.420385;305;5;7;TRUE;0.226;0.064;-1.998;9;76;38;871;0;2;4.3;5
27/10/2022 09:56:22;27/10/2022 09:56:26;359633107827987;51.096293;71.42041;304;3;7;TRUE;0.226;0.064;-1.998;9;76;38;871;0;2;4.3;5
27/10/2022 09:56:22;27/10/2022 09:56:26;359633107827987;51.096293;71.42041;304;3;7;TRUE;0.226;0.064;-1.998;9;76;38;871;0;2;4.3;5
27/10/2022 09:56:22;27/10/2022 09:56:24;359633107827987;51.096293;71.42041;304;3;7;TRUE;0.187;0.063;-2.009;8;76;44;770;0;3;3.99;0
27/10/2022 09:56:26;27/10/2022 09:56:27;359633107827987;51.096297;71.42042;303;0;7;TRUE;0.182;0.051;-2;8;76;37;784;0;4;3.18;0
27/10/2022 09:56:31;27/10/2022 09:56:33;359633107827987;51.096297;71.42042;303;0;7;TRUE;0.165;0.032;-2.016;8;77;35;807;0;0;3.1;0
27/10/2022 09:56:33;27/10/2022 09:56:37;359633107827987;51.096282;71.420523;297;7;32;TRUE;0.016;-0.052;-2.107;8;77;50;1864;0;1;10.3;9
27/10/2022 09:56:36;27/10/2022 09:56:39;359633107827987;51.096293;71.42057;296;14;45;TRUE;0.535;0.362;-2.041;8;77;37;1771;0;2;8.02;16
27/10/2022 09:56:37;27/10/2022 09:56:50;359633107827987;51.09631;71.42062;295;12;35;TRUE;0.34;0.094;-1.992;8;77;25;1380;0;0;4.02;13
27/10/2022 09:56:37;27/10/2022 09:56:50;359633107827987;51.09631;71.42062;295;12;35;TRUE;0.298;0.165;-2.006;8;77;25;1380;0;0;4.02;13
27/10/2022 09:56:37;27/10/2022 09:56:50;359633107827987;51.09631;71.42062;295;12;35;TRUE;0.298;0.165;-2.006;8;77;25;1380;0;0;4.02;13
27/10/2022 09:56:39;27/10/2022 09:56:50;359633107827987;51.096323;71.42064;293;0;47;TRUE;0.179;0.022;-2.022;8;76;30;987;0;-3;4.04;6
27/10/2022 09:56:42;27/10/2022 09:56:43;359633107827987;51.096338;71.420635;291;0;47;TRUE;0.209;0.028;-2.123;8;75;47;1261;0;2;4.8;5
27/10/2022 09:56:43;27/10/2022 09:56:50;359633107827987;51.096415;71.420642;289;13;33;TRUE;0.163;-0.099;-2.189;8;76;57;2156;0;1;16.39;16
27/10/2022 09:56:44;27/10/2022 09:56:50;359633107827987;51.096423;71.420718;289;21;51;TRUE;0.142;0.183;-2.149;8;77;67;2743;0;0;19.76;27
27/10/2022 09:56:45;27/10/2022 09:56:50;359633107827987;51.096423;71.420817;288;21;66;TRUE;0.142;0.183;-2.149;8;77;67;2743;0;0;19.76;27
27/10/2022 09:56:46;27/10/2022 09:56:48;359633107827987;51.096412;71.42094;288;21;78;TRUE;0.093;0.034;-2.252;8;77;67;2743;0;0;19.76;27
27/10/2022 09:56:49;27/10/2022 09:56:51;359633107827987;51.096382;71.421285;289;31;90;TRUE;0.198;0.078;-2.218;8;77;73;1844;0;-3;19.91;38
27/10/2022 09:56:51;27/10/2022 09:56:55;359633107827987;51.096382;71.42157;289;36;92;TRUE;0.256;0.376;-2.172;7;78;68;2070;0;0;16.44;44
27/10/2022 09:56:56;27/10/2022 09:56:58;359633107827987;51.096347;71.422415;288;45;98;TRUE;0.058;-0.096;-2.134;7;80;75;1764;0;-3;15.27;52
27/10/2022 09:57:01;27/10/2022 09:57:02;359633107827987;51.096268;71.423353;286;52;100;TRUE;0.255;0.177;-2.161;7;80;32;2050;0;-3;13.44;54
27/10/2022 09:57:06;27/10/2022 09:57:07;359633107827987;51.096117;71.424427;286;53;101;TRUE;0.275;0.22;-2.153;7;82;17;1670;0;-5;3.23;53
27/10/2022 09:57:11;27/10/2022 09:57:15;359633107827987;51.09596;71.425452;284;51;104;TRUE;0.161;0.201;-2.227;7;83;31;1796;0;6;10.06;50
27/10/2022 09:57:14;27/10/2022 09:57:22;359633107827987;51.095878;71.425957;283;46;103;TRUE;0.34;0.318;-2.139;7;83;21;1450;0;-2;3.77;47
27/10/2022 09:57:16;27/10/2022 09:57:22;359633107827987;51.095843;71.426222;282;37;107;TRUE;0.34;0.318;-2.139;7;83;21;1450;0;-2;3.77;47
27/10/2022 09:57:16;27/10/2022 09:57:22;359633107827987;51.095843;71.426222;282;37;107;TRUE;0.365;0.493;-2.076;7;84;23;1312;0;-3;3.54;31
27/10/2022 09:57:16;27/10/2022 09:57:22;359633107827987;51.095843;71.426222;282;37;107;TRUE;0.365;0.493;-2.076;7;84;23;1312;0;-3;3.54;31
27/10/2022 09:57:17;27/10/2022 09:57:18;359633107827987;51.095843;71.426222;282;37;107;TRUE;0.365;0.493;-2.076;7;84;23;1312;0;-3;3.54;31
27/10/2022 09:57:18;27/10/2022 09:57:22;359633107827987;51.095777;71.426473;282;30;113;TRUE;0.322;0.316;-2.161;7;84;24;1151;0;-1;3.46;27
27/10/2022 09:57:18;27/10/2022 09:57:22;359633107827987;51.095777;71.426473;282;30;113;TRUE;0.322;0.316;-2.161;7;84;24;1151;0;-1;3.46;27
27/10/2022 09:57:19;27/10/2022 09:57:26;359633107827987;51.095767;71.426572;281;25;100;TRUE;0.182;0.449;-2.055;7;84;24;1268;0;0;3.25;22
27/10/2022 09:57:21;27/10/2022 09:57:24;359633107827987;51.095757;71.426722;281;19;101;TRUE;0.149;0.186;-2.208;7;84;25;1629;0;-2;4.02;21
27/10/2022 09:57:22;27/10/2022 09:57:26;359633107827987;51.095793;71.4268;282;22;76;TRUE;-0.005;0.183;-2.139;7;84;52;1792;0;5;11.2;25
27/10/2022 09:57:23;27/10/2022 09:57:26;359633107827987;51.09587;71.426863;282;23;55;TRUE;0.077;0.32;-2.23;7;84;58;1795;0;-1;13.32;28
27/10/2022 09:57:24;27/10/2022 09:57:26;359633107827987;51.095973;71.426863;281;25;36;TRUE;0.134;0.216;-2.105;7;84;60;2003;0;0;13.41;31
27/10/2022 09:57:25;27/10/2022 09:57:28;359633107827987;51.096085;71.426847;282;29;22;TRUE;0.167;0.196;-2.246;7;84;60;1702;0;-1;15.9;34
27/10/2022 09:57:26;27/10/2022 09:57:27;359633107827987;51.0962;71.426858;282;33;16;TRUE;0.145;-0.119;-2.21;7;84;83;1797;0;-7;16.93;38
27/10/2022 09:57:29;27/10/2022 09:57:31;359633107827987;51.096482;71.426973;283;44;19;TRUE;0.227;0.528;-2.157;7;84;72;2103;0;0;17.18;44
27/10/2022 09:57:31;27/10/2022 09:57:33;359633107827987;51.096692;71.427072;284;46;15;TRUE;0.196;0.266;-2.095;7;84;84;1618;0;-4;17.75;48
27/10/2022 09:57:36;27/10/2022 09:57:39;359633107827987;51.097315;71.427267;284;52;11;TRUE;0.167;0.297;-2.351;7;85;45;1793;0;0;9.69;53
27/10/2022 09:57:41;27/10/2022 09:57:43;359633107827987;51.097932;71.427432;284;51;9;TRUE;-0.025;-0.101;-2.181;7;85;38;1801;0;7;7.87;53
27/10/2022 09:57:46;27/10/2022 09:57:49;359633107827987;51.098565;71.427653;284;52;11;TRUE;0.272;0.236;-2.172;7;85;47;1748;0;3;10.07;53
27/10/2022 09:57:51;27/10/2022 09:57:52;359633107827987;51.099192;71.427838;284;51;10;TRUE;0.402;0.607;-2.175;6;86;47;1698;0;2;9.29;52
27/10/2022 09:57:56;27/10/2022 09:57:58;359633107827987;51.099785;71.428102;286;51;11;TRUE;0.234;0.181;-2.014;6;86;60;1692;0;0;11.92;52
27/10/2022 09:58:01;27/10/2022 09:58:03;359633107827987;51.100427;71.428357;287;52;11;TRUE;0.25;0.333;-2.114;6;86;29;1776;0;3;6.09;54
27/10/2022 09:58:06;27/10/2022 09:58:08;359633107827987;51.101048;71.428638;288;50;15;TRUE;0.318;0.246;-2.144;6;86;25;1762;0;2;6.73;53
27/10/2022 09:58:11;27/10/2022 09:58:15;359633107827987;51.101625;71.428917;291;50;12;TRUE;0.167;-0.019;-2.172;6;86;46;1740;0;-5;9.27;53
27/10/2022 09:58:16;27/10/2022 09:58:18;359633107827987;51.102183;71.429197;299;52;14;TRUE;0.128;0.089;-2.167;6;86;35;1782;0;0;7.32;53
27/10/2022 09:58:21;27/10/2022 09:58:35;359633107827987;51.102712;71.42946;307;50;16;TRUE;0.203;0.11;-2.158;6;86;36;1713;0;-6;6.99;53
27/10/2022 09:58:26;27/10/2022 09:58:37;359633107827987;51.103382;71.429725;311;49;22;TRUE;0.104;0.103;-2.127;6;86;41;1724;0;0;7.9;52
27/10/2022 09:58:31;27/10/2022 09:58:37;359633107827987;51.103943;71.430102;319;48;18;TRUE;0.183;0.196;-2.04;6;86;30;1686;0;0;6.14;51
27/10/2022 09:58:36;27/10/2022 09:58:38;359633107827987;51.10451;71.430417;325;44;13;TRUE;0.14;0.245;-2.152;6;87;25;1593;0;0;3.91;49
27/10/2022 09:58:41;27/10/2022 09:58:45;359633107827987;51.105045;71.430542;330;46;5;TRUE;0.171;0.056;-2.106;6;87;57;1576;0;-7;10.21;48
27/10/2022 09:58:46;27/10/2022 10:00:15;359633107827987;51.105583;71.430605;335;43;9;TRUE;0.174;0.225;-2.112;6;87;51;1605;0;0;11.91;49
27/10/2022 09:58:51;27/10/2022 10:00:15;359633107827987;51.106177;71.430767;338;50;11;TRUE;0.185;0.236;-2.144;6;87;47;1719;0;2;10.38;51
27/10/2022 09:58:56;27/10/2022 10:00:15;359633107827987;51.106788;71.430975;338;49;13;TRUE;0.132;0.109;-2.146;6;87;40;1728;0;0;8.57;51
27/10/2022 09:59:01;27/10/2022 10:00:15;359633107827987;51.107387;71.431208;338;51;13;TRUE;0.182;0.134;-2.177;5;87;36;1738;0;-7;8.71;52
27/10/2022 09:59:04;27/10/2022 10:00:42;359633107827987;51.107738;71.431358;338;47;15;TRUE;0.331;0.331;-2.123;5;87;17;1537;0;0;3.23;49
27/10/2022 09:59:04;27/10/2022 10:00:42;359633107827987;51.107738;71.431358;338;47;15;TRUE;0.331;0.331;-2.123;5;87;17;1537;0;0;3.23;49
27/10/2022 09:59:05;27/10/2022 10:00:42;359633107827987;51.107852;71.431405;339;44;14;TRUE;0.289;0.222;-2.07;5;87;23;1269;0;-7;3.28;39
27/10/2022 09:59:06;27/10/2022 10:00:42;359633107827987;51.107852;71.431405;339;44;14;TRUE;0.289;0.222;-2.07;5;87;23;1269;0;-7;3.28;39
27/10/2022 09:59:06;27/10/2022 10:00:15;359633107827987;51.107955;71.431442;339;40;12;TRUE;0.215;0.078;-2.077;5;87;23;1269;0;-7;3.28;39
27/10/2022 09:59:07;27/10/2022 10:00:40;359633107827987;51.108043;71.431475;339;35;9;TRUE;0.431;0.416;-2.154;5;87;23;1495;0;-4;3.48;35
27/10/2022 09:59:08;27/10/2022 10:00:40;359633107827987;51.108043;71.431475;339;35;9;TRUE;0.431;0.416;-2.154;5;87;23;1495;0;-4;3.48;35
27/10/2022 09:59:09;27/10/2022 10:00:40;359633107827987;51.108122;71.431502;339;32;7;TRUE;0.31;0.261;-2.062;5;87;21;1277;0;-2;3.55;29
27/10/2022 09:59:09;27/10/2022 10:00:40;359633107827987;51.108122;71.431502;339;32;7;TRUE;0.31;0.261;-2.062;5;87;21;1277;0;-2;3.55;29
27/10/2022 09:59:11;27/10/2022 10:00:40;359633107827987;51.108237;71.43154;340;21;0;TRUE;0.311;0.239;-2.077;5;87;27;1119;0;-6;3.5;17
27/10/2022 09:59:11;27/10/2022 10:00:31;359633107827987;51.10828;71.431543;340;18;355;TRUE;0.311;0.239;-2.077;5;87;27;1119;0;-6;3.5;17
27/10/2022 09:59:12;27/10/2022 10:00:31;359633107827987;51.10828;71.431543;340;9;355;TRUE;0.279;0.163;-2.003;5;87;27;880;0;1;3.28;12
27/10/2022 09:59:13;27/10/2022 10:00:31;359633107827987;51.108332;71.43156;341;9;341;TRUE;0.279;0.163;-2.003;5;87;27;880;0;1;3.28;12
27/10/2022 09:59:13;27/10/2022 10:00:31;359633107827987;51.108332;71.43156;341;9;341;TRUE;0.279;0.163;-2.003;5;87;27;880;0;1;3.28;12
27/10/2022 09:59:14;27/10/2022 10:00:31;359633107827987;51.108332;71.43156;341;9;341;TRUE;0.193;0.098;-2.015;5;87;30;826;0;-1;3.12;4
27/10/2022 09:59:15;27/10/2022 10:00:31;359633107827987;51.108348;71.431557;341;8;329;TRUE;0.249;0.123;-1.977;5;87;34;787;0;4;3.1;2
27/10/2022 09:59:16;27/10/2022 10:00:31;359633107827987;51.108358;71.431552;342;7;316;TRUE;0.177;0.08;-1.997;5;87;35;768;0;0;3.03;0
27/10/2022 09:59:18;27/10/2022 10:00:15;359633107827987;51.10835;71.431573;343;0;316;TRUE;0.184;0.098;-1.992;5;88;34;775;0;3;3.02;0
27/10/2022 09:59:21;27/10/2022 10:00:08;359633107827987;51.108347;71.431577;343;0;316;TRUE;0.188;0.096;-1.987;5;88;34;778;0;0;3.03;0
27/10/2022 09:59:26;27/10/2022 10:00:08;359633107827987;51.108347;71.431577;343;0;316;TRUE;0.182;0.088;-1.995;5;88;34;778;0;0;3.05;0
27/10/2022 09:59:31;27/10/2022 10:00:08;359633107827987;51.108347;71.431577;343;0;316;TRUE;0.189;0.106;-1.994;5;88;36;798;0;0;3.23;0
27/10/2022 09:59:36;27/10/2022 10:00:08;359633107827987;51.108347;71.431577;343;0;316;TRUE;0.173;0.069;-1.992;5;88;35;779;0;0;3.14;0
27/10/2022 09:59:41;27/10/2022 10:00:08;359633107827987;51.108347;71.431577;343;0;316;TRUE;0.187;0.073;-1.987;5;88;43;767;0;-3;3.81;0
27/10/2022 09:59:46;27/10/2022 10:00:08;359633107827987;51.108347;71.431577;343;0;316;TRUE;0.169;0.071;-1.997;5;88;34;751;0;0;2.95;0
27/10/2022 09:59:51;27/10/2022 10:00:08;359633107827987;51.108327;71.431583;347;0;133;TRUE;0.173;0.056;-1.986;5;88;34;748;0;-2;2.92;0
27/10/2022 09:59:56;27/10/2022 10:00:08;359633107827987;51.10834;71.431553;343;4;138;TRUE;0.148;0.036;-2;5;88;33;746;0;-1;2.84;0
27/10/2022 10:00:00;27/10/2022 10:00:31;359633107827987;51.108343;71.431603;341;9;89;TRUE;0.076;0.192;-2.253;5;88;71;2149;0;-1;14.93;11
27/10/2022 10:00:01;27/10/2022 10:00:31;359633107827987;51.10837;71.431625;340;18;55;TRUE;0.21;0.021;-2.248;5;88;90;2649;0;-7;25.23;25
27/10/2022 10:00:02;27/10/2022 10:00:23;359633107827987;51.108415;71.431653;338;18;38;TRUE;0.228;0.07;-2.161;5;88;90;2649;0;-7;25.23;25
27/10/2022 10:00:03;27/10/2022 10:00:23;359633107827987;51.108468;71.431683;337;20;25;TRUE;0.283;-0.029;-2.221;5;88;31;1722;0;-7;10.66;26
27/10/2022 10:00:04;27/10/2022 10:00:23;359633107827987;51.108517;71.431717;336;21;21;TRUE;0.431;0.21;-2.046;5;88;22;1409;0;-10;3.82;24
27/10/2022 10:00:05;27/10/2022 10:00:23;359633107827987;51.108517;71.431717;336;21;21;TRUE;0.431;0.21;-2.046;5;88;22;1409;0;-10;3.82;24
27/10/2022 10:00:06;27/10/2022 10:00:23;359633107827987;51.108577;71.431732;335;22;15;TRUE;0.31;0.239;-2.04;5;87;21;1090;0;0;3.36;16
27/10/2022 10:00:06;27/10/2022 10:00:23;359633107827987;51.108623;71.43174;334;18;8;TRUE;0.31;0.239;-2.04;5;87;21;1090;0;0;3.36;16
27/10/2022 10:00:06;27/10/2022 10:00:15;359633107827987;51.108623;71.43174;334;18;8;TRUE;0.204;0.081;-2.067;5;87;21;1090;0;0;3.36;16
27/10/2022 10:00:07;27/10/2022 10:00:23;359633107827987;51.108623;71.43174;334;18;8;TRUE;0.25;0.172;-2.04;5;87;29;933;0;-1;3.25;9
27/10/2022 10:00:07;27/10/2022 10:00:23;359633107827987;51.108652;71.431735;333;13;1;TRUE;0.25;0.172;-2.04;5;87;29;933;0;-1;3.25;9
27/10/2022 10:00:10;27/10/2022 10:00:23;359633107827987;51.108695;71.43178;330;0;3;TRUE;0.213;0.11;-2.023;5;87;32;781;0;-1;2.97;3
27/10/2022 10:00:11;27/10/2022 10:00:17;359633107827987;51.108707;71.431783;329;0;3;TRUE;0.227;0.128;-1.987;5;88;33;787;0;0;2.97;2
27/10/2022 10:00:16;27/10/2022 10:00:20;359633107827987;51.108747;71.431782;328;5;117;TRUE;0.155;0.072;-2.013;5;88;33;784;0;-1;2.87;0
27/10/2022 10:00:21;27/10/2022 10:00:25;359633107827987;51.108768;71.431798;326;4;117;TRUE;0.18;0.073;-1.993;5;88;33;765;0;1;2.98;2
27/10/2022 10:00:26;27/10/2022 10:00:29;359633107827987;51.10877;71.431803;324;0;117;TRUE;0.178;0.086;-1.996;5;89;43;769;0;1;3.74;0
27/10/2022 10:00:30;27/10/2022 10:00:40;359633107827987;51.108763;71.431843;322;8;106;TRUE;0.176;0.08;-1.993;5;89;33;744;0;5;2.84;0
27/10/2022 10:00:31;27/10/2022 10:00:36;359633107827987;51.108762;71.431855;321;6;120;TRUE;0.123;0.062;-2.004;5;89;34;740;0;-1;2.91;0
27/10/2022 10:00:35;27/10/2022 10:00:40;359633107827987;51.108797;71.431873;319;11;13;TRUE;0.184;0.331;-2.126;5;89;66;2478;0;-3;18.02;16
27/10/2022 10:00:36;27/10/2022 10:00:40;359633107827987;51.108832;71.431892;319;14;23;TRUE;0.246;0.227;-2.127;5;89;44;2058;0;-2;16;19
27/10/2022 10:00:36;27/10/2022 10:00:38;359633107827987;51.108832;71.431892;319;14;23;TRUE;0.149;0.273;-2.182;5;89;44;2058;0;-2;16;19
27/10/2022 10:00:37;27/10/2022 10:00:40;359633107827987;51.108868;71.431908;319;16;33;TRUE;0.209;0.188;-2.07;5;89;17;1740;0;-5;3.41;19
27/10/2022 10:00:41;27/10/2022 10:00:50;359633107827987;51.109005;71.432013;317;12;11;TRUE;0.192;0.065;-2.073;5;88;27;1246;0;-5;4.1;13
27/10/2022 10:00:41;27/10/2022 10:00:43;359633107827987;51.109005;71.432013;317;12;11;TRUE;0.222;0.233;-2.039;5;88;27;1246;0;-5;4.1;13
27/10/2022 10:00:44;27/10/2022 10:00:56;359633107827987;51.109097;71.431982;318;9;42;TRUE;0.197;0.123;-2.051;5;88;27;1098;0;3;3.66;10
27/10/2022 10:00:45;27/10/2022 10:00:56;359633107827987;51.109133;71.431983;318;11;56;TRUE;0.211;0.094;-2.043;5;88;29;1050;0;0;3.63;10
27/10/2022 10:00:46;27/10/2022 10:00:52;359633107827987;51.10916;71.431993;318;13;65;TRUE;0.223;0.142;-2.036;5;88;29;1050;0;0;3.63;10
27/10/2022 10:00:50;27/10/2022 10:00:56;359633107827987;51.109218;71.43209;319;9;91;TRUE;0.234;0.11;-1.98;5;88;30;772;0;3;3.01;3
27/10/2022 10:00:51;27/10/2022 10:00:56;359633107827987;51.109215;71.4321;319;8;105;TRUE;0.175;0.065;-1.992;5;88;37;779;0;3;3.18;1
27/10/2022 10:00:51;27/10/2022 10:00:54;359633107827987;51.109215;71.4321;319;8;105;TRUE;0.189;0.097;-1.979;5;88;37;779;0;3;3.18;1
27/10/2022 10:00:56;27/10/2022 10:01:03;359633107827987;51.109232;71.43206;318;0;105;TRUE;0.184;0.098;-1.992;5;89;33;746;0;1;2.85;0
27/10/2022 10:01:01;27/10/2022 10:01:03;359633107827987;51.109232;71.432032;319;6;111;TRUE;0.18;0.073;-1.993;5;89;33;751;0;0;2.82;0
27/10/2022 10:01:02;27/10/2022 10:01:05;359633107827987;51.109215;71.43205;319;8;124;TRUE;0.156;0.041;-1.993;5;89;33;739;0;0;2.85;0
27/10/2022 10:01:06;27/10/2022 10:01:08;359633107827987;51.109203;71.432062;318;0;284;TRUE;0.178;0.067;-1.991;5;89;34;751;0;-2;2.92;0
27/10/2022 10:01:07;27/10/2022 10:01:10;359633107827987;51.109208;71.432037;318;10;296;TRUE;0.18;0.073;-1.993;5;89;33;745;0;0;2.85;0
27/10/2022 10:01:10;27/10/2022 10:01:16;359633107827987;51.109207;71.431993;318;0;300;TRUE;0.179;0.068;-1.994;5;89;34;741;0;-3;3.73;0
27/10/2022 10:01:11;27/10/2022 10:01:15;359633107827987;51.109202;71.432002;318;0;300;TRUE;0.188;0.069;-1.996;5;89;46;764;0;0;3.89;0
27/10/2022 10:01:16;27/10/2022 10:01:21;359633107827987;51.1092;71.432025;319;6;123;TRUE;0.173;0.074;-1.987;5;89;41;756;0;0;3.56;0
27/10/2022 10:01:17;27/10/2022 10:01:19;359633107827987;51.109195;71.43203;319;6;125;TRUE;0.192;0.08;-1.985;5;89;33;753;0;3;2.84;0
27/10/2022 10:01:21;27/10/2022 10:01:27;359633107827987;51.109178;71.432062;319;0;122;TRUE;0.178;0.067;-1.991;5;89;33;745;0;0;2.86;0
27/10/2022 10:01:26;27/10/2022 10:01:32;359633107827987;51.10919;71.432068;319;0;122;TRUE;0.186;0.09;-1.985;5;89;34;752;0;0;2.9;0
27/10/2022 10:01:31;27/10/2022 10:01:34;359633107827987;51.10919;71.432048;319;0;130;TRUE;0.183;0.088;-1.986;5;89;34;755;0;-2;2.87;0
27/10/2022 10:01:36;27/10/2022 10:01:38;359633107827987;51.10919;71.432048;319;0;130;TRUE;0.173;0.069;-1.992;5;89;33;747;0;0;2.87;0
27/10/2022 10:01:37;27/10/2022 10:01:43;359633107827987;51.109222;71.431998;320;6;309;TRUE;0.175;0.057;-2.005;5;89;33;747;0;0;2.87;0
27/10/2022 10:01:41;27/10/2022 10:01:45;359633107827987;51.109233;71.431978;321;0;350;TRUE;0.179;0.073;-1.99;5;89;33;742;0;0;2.85;0
27/10/2022 10:01:46;27/10/2022 10:01:48;359633107827987;51.109243;71.431948;323;0;308;TRUE;0.181;0.074;-1.985;5;89;33;745;0;-2;2.83;0
27/10/2022 10:01:47;27/10/2022 10:01:50;359633107827987;51.109243;71.431948;323;0;308;FALSE;0.185;0.076;-1.987;5;89;34;746;0;0;2.83;0
27/10/2022 10:01:51;27/10/2022 10:01:54;359633107827987;51.109243;71.431948;326;0;308;FALSE;0.19;0.093;-1.987;5;89;34;749;0;0;2.87;0
27/10/2022 10:01:56;27/10/2022 10:01:58;359633107827987;51.109243;71.431948;326;0;308;FALSE;0.174;0.069;-1.996;5;89;43;758;0;1;3.76;0
27/10/2022 10:02:02;27/10/2022 10:02:03;359633107827987;51.109243;71.431948;326;0;308;FALSE;0.022;0.008;-2.153;5;89;56;1713;0;0;10.4;9
27/10/2022 10:02:06;27/10/2022 10:02:18;359633107827987;51.10941;71.432052;328;11;14;FALSE;0.313;0.191;-2.059;5;89;27;1208;0;-5;4.1;12
27/10/2022 10:02:06;27/10/2022 10:02:18;359633107827987;51.10941;71.432052;328;11;14;TRUE;0.336;0.2;-2.047;5;89;27;1208;0;-5;4.1;12
